size,time(ms)
500,6103
1500,13714
2500,21237
3500,30149
4500,40179
5500,47217
6500,56054
7500,65670
8500,73919
9500,84075
10500,93178
11500,102442
12500,112201
13500,122540
14500,132240
15500,131682
16500,140634
17500,150389
18500,174635
19500,213881
20500,197730
21500,209201
22500,219513
23500,235347
24500,243123
25500,254795
26500,267126
27500,279397
28500,290200
29500,302152
30500,314809
31500,325684
32500,338849
33500,351066
34500,365244
35500,380254
36500,392998
37500,401042
38500,414315
39500,426857
40500,487026
41500,464070
42500,462291
43500,482118
44500,487716
45500,505786
46500,515135
47500,549117
48500,540562
49500,552769
50500,594184
51500,580878
52500,593891
53500,607355
54500,618468
55500,631203
56500,604949
57500,694013
58500,706510
59500,679464
60500,697374
61500,744888
62500,758123
63500,771489
64500,747719
65500,754194
66500,772644
67500,786316
68500,797696
69500,810781
70500,819976
71500,871585
72500,848874
73500,859593
74500,873372
75500,883289
76500,896062
77500,916124
78500,926134
79500,937398
80500,950813
81500,963101
82500,978713
83500,990241
84500,1000900
85500,1017609
86500,1177723
87500,1082498
88500,1050024
89500,1065403
90500,1079517
91500,1091970
92500,1104491
93500,1117425
94500,1130340
95500,1206356
96500,1154877
97500,1168237
98500,1178220
99500,1190742
